ProductID,ProductName,Category,UnitOfMeasure,StandardCost,ListPrice,Currency,OriginCountry
PROD-2000,Copper,Agriculture,mt,150,200,USD,USA
PROD-2001,,Energy,mt,,,USD,China
PROD-2002,Corn,Agriculture,mt,150,200,USD,
PROD-2003,Wheat,Energy,MT,,300,usd,
PROD-2004,Copper,,mt,,300,usd,
PROD-2005,Aluminum,Agriculture,mt,100,200,USD,
PROD-2006,Steel,Energy,kg,,300,usd,
PROD-2007,,Energy,kg,100,300,USD,Brazil
PROD-2008,Wheat,Energy,kg,150,300,usd,
PROD-2009,Copper,Agriculture,mt,150,300,usd,Germany
PROD-2010,Steel,,kg,,,USD,
PROD-2011,,Energy,mt,,200,USD,China
PROD-2012,Copper,Metal,MT,150,300,USD,Germany
PROD-2013,Steel,Energy,mt,150,200,USD,USA
PROD-2014,,,mt,100,200,usd,Germany
PROD-2015,Copper,Agriculture,kg,150,200,USD,USA
PROD-2016,Steel,Metal,mt,,300,usd,
PROD-2017,Corn,Energy,mt,150,,usd,Brazil
PROD-2018,,,mt,150,,usd,USA
PROD-2019,,,MT,150,,USD,Germany
PROD-2020,Aluminum,Metal,MT,100,200,USD,
PROD-2021,Steel,Agriculture,mt,,300,usd,Germany
PROD-2022,Wheat,Agriculture,mt,,,usd,China
PROD-2023,Wheat,Agriculture,kg,,,USD,USA
PROD-2024,Aluminum,Metal,kg,100,,USD,
PROD-2025,Aluminum,Metal,mt,,300,usd,Germany
PROD-2026,Corn,Metal,kg,100,,USD,Germany
PROD-2027,Aluminum,,mt,150,300,USD,China
PROD-2003,Wheat,Energy,MT,,300,usd,
PROD-2007,,Energy,kg,100,300,USD,Brazil
